tcode
FS1
/N/BAAUTL/RANGES
FRB2
SBWPO
FBVO
FBV03
/TAULIA/CONFIG
SEARCH_SAP_MENU
ZFI_DOCUMENT_DOWNLOA
LTRC
LTR
W30
BAIIV/EDIT_AP
ZFI_FAGLSKF
/ATL/PCN874
K4EDE
X
FB2
ANLZ
FB30
TO12
SU-1
GD31
ZFI_PRD
WE86
WE03
WE01
WE80
PSAD
FAGL_GET_ARCH_ITEMS_
ZFI_AVG_FX
FBZ8I
ZF_CURR_RATE
X018
ABAB
ZBAAIIV_RPT_QUERY
FAGLB03A
START_BSP
OBWF'
ZVENDOR_UPDATE
FAGL_DOCNRE
FL1N
FAGL3KEH
/TAULIA/TS_VMC
/TAULIA/TS_VND_GET
NSE16
AZAB
ACSET
AO70
FXTP
BEND
ZFIJWORKFLOW
RSTRANSP
ZAWF
Z_CUST_REFUND_UPLOAD
PPOMA_BBP
GB09
ZBIURL
AM37
SE26
MVKE
SE389
ZFI_IC_CUST_EXTRACT
ZMMVENDPO
2)#ZFIJEUPLOAD_V4
/FB03
FLBN
FB5LN
VF5LN
FS115
VL5N
VAF03
ZFI_RECON2_ADHOC
F011
ZALL
ZSD_ORDER_UPLOADD
ZFIJEUPPLOAD_V4
Z_BC_EMAIL
S0ST
ZL11
VF13
VF01N
F-990
ZPCC_STATMNT_SDC
Z_HR_TERMINATE
